Model;GEM2000Plus;Serial No;GM10283
Date downloaded;13/11/2019 07:27:08;Software Version;1.10.4
Computer & User Info;BRA000178;smoncerrat
Date of last user calibration;26/10/2019
Date of last factory calibration;14/5/2015
Next service due;17/11/2015
Date of last Gas Check;14/5/2015
Security code;[61D01C19]

ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;CO;H2S;H2;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;ppm;ppm;ppm;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;m
"M2S17P09";12/11/2019 13:47:13;14,9;12,3;4;68,8;">>>>";999;0;3;"LOW";-117,3;">>>>";0;0;0;-126,4;">>>>";0;0;0;"POZO CERRADO";;1,21;53,68;;
"M2S17P17";12/11/2019 13:48:27;56,3;43,5;0,1;0,1;">>>>";999;0;8;"LOW";-129,4;">>>>";0;0;0;-139,2;">>>>";0;0;0;"POZO ABIERTO";;1,29;0,0;;
"M2S17P06";12/11/2019 13:49:19;57,3;42,6;0;0,1;">>>>";999;0;12;"LOW";-127,9;">>>>";0;0;0;-129,9;">>>>";0;0;0;"POZO ABIERTO";;1,35;0,1;;
"M2S16P31";12/11/2019 13:50:16;21,7;13;10,1;55,2;">>>>";999;0;9;"LOW";-126,5;">>>>";0;0;0;-148,5;">>>>";0;0;0;"POZO CERRADO";;1,67;17,02;;
"M2S16P29";12/11/2019 13:51:16;1,1;0,3;17,2;81,4;22;999;0;2;"LOW";-1,7;1,843;0;0;0;-30,9;3,627;0;0;0;"POZO CERRADO";;3,67;16,38;;
"M2S17P10";12/11/2019 13:52:37;56;43,8;0,1;0,1;">>>>";999;0;10;"LOW";-120,6;">>>>";0;0;0;-131,1;">>>>";0;0;0;"POZO ABIERTO";;1,28;0,0;;
"M2S17P03";12/11/2019 13:54:07;58,2;41,5;0,1;0,2;">>>>";999;0;7;"LOW";-124,9;">>>>";0;0;0;-138,6;">>>>";0;0;0;"POZO ABIERTO";;1,4;0,0;;
"M2S16P28";12/11/2019 13:55:42;57,9;39,8;0,8;1,5;">>>>";999;0;7;"LOW";-134,1;">>>>";0;0;0;-137,5;">>>>";0;0;0;"POZO ABIERTO";;1,45;0,0;;
"M2S16P16";12/11/2019 13:56:47;58,6;40;0,7;0,7;">>>>";999;0;7;"LOW";-128,4;">>>>";0;0;0;-144,2;">>>>";0;0;0;"POZO ABIERTO";;1,47;0,0;;
"M2S17P11";12/11/2019 13:58:03;56,8;43,1;0;0,1;">>>>";1000;0;8;"LOW";-121,7;">>>>";0;0;0;-140,1;">>>>";0;0;0;"POZO ABIERTO";;1,32;0,1;;
"M2MGSE11";12/11/2019 14:09:22;60,1;39,1;0,6;0,2;">>>>";1001;0;8;"LOW";-119,3;">>>>";0;0;0;-124,6;">>>>";0;0;0;"POZO ABIERTO";;1,54;0,0;;
"M2S11P07";12/11/2019 14:10:37;57,9;42;0;0,1;">>>>";1001;0;7;"LOW";-3,4;3,444;0;0;0;-2,1;2,26;0;0;0;"POZO ABIERTO";;1,38;0,1;;
