
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S08P20";15/4/2020 15:45:11;52,1;41,5;0,5;5,9;">>>>";1017;;;;"N/A_";;98;;;;;-16,27;18,385;0;0;0;-16,05;12,848;0;0;0;"20%";;1,26;4,01;;;;N/A;
"M2S08P18";15/4/2020 15:49:53;33,9;28,5;3,6;34;">>>>";1017;;;;"N/A_";;18;;;;;-1,92;2,089;0;0;0;-33,31;">>>>";0;0;0;"20%";;1,19;20,39;;;;N/A;
"M2S08P12";15/4/2020 15:51:53;59,3;43,4;0;0;">>>>";1017;;;;"N/A_";;193;;;;;-0,9;1,95;0;0;0;-0,37;1,152;0;0;0;"20%";;1,37;0,0;;;;N/A;
"M2S08P16";15/4/2020 15:54:10;0,3;0,2;19,8;79,7;6;1018;;;;"N/A_";;17;;;;;1,33;-0,131;0;0;0;-0,85;1,505;0;0;0;"0%";;1,5;4,86;;;;N/A;
"M2S08P16";15/4/2020 15:54:12;0,3;0,2;19,8;79,7;6;1018;;;;"N/A_";;17;;;;;1,33;-0,131;0;0;0;-0,85;1,505;0;0;0;;;1,5;4,86;;;;N/A;
"M2S08P09";15/4/2020 15:57:27;43,6;33,6;3,5;19,3;">>>>";1017;;;;"N/A_";;19;;;;;-44,09;">>>>";0;0;0;-114;">>>>";0;0;0;"20%";;1,3;6,07;;;;N/A;
"M2S08P05";15/4/2020 15:59:39;1,8;1,5;19,1;77,6;36;1017;;;;"N/A_";;11;;;;;0,88;-0,04;0;0;0;-151,79;">>>>";0;0;0;"0%";;1,2;5,4;;;;N/A;
"M2S08P03";15/4/2020 16:03:32;5,6;3,6;18,1;72,7;">>>>";1017;;;;"N/A_";;8;;;;;0,85;-0,057;0;0;0;-113,62;">>>>";0;0;0;"0%";;1,56;4,28;;;;N/A;
"M2S08P06";15/4/2020 16:07:10;54,4;43,8;1,1;0,7;">>>>";1017;;;;"N/A_";;9;;;;;-0,05;0,855;0;0;0;1,53;-0,785;0;0;0;"20%";;1,24;0,0;;;;N/A;
"M2S08P04";15/4/2020 16:09:28;40,8;27,2;6;26;">>>>";1017;;;;"N/A_";;9;;;;;-29,02;">>>>";0;0;0;-33,05;">>>>";0;0;0;"20%";;1,5;3,32;;;;N/A;
"M2S08P21";15/4/2020 16:10:59;58,1;42,7;0,5;0;">>>>";1017;;;;"N/A_";;115;;;;;-12,35;9,076;0;0;0;-4,68;5,417;0;0;0;"20%";;1,36;0,0;;;;N/A;
"M2S08P17";15/4/2020 16:12:37;60,6;43,4;0;0;">>>>";1017;;;;"N/A_";;178;;;;;-1,81;2,582;0;0;0;-0,37;0,967;0;0;0;"20%";;1,4;0,0;;;;N/A;
"M2S08K01";15/4/2020 16:15:59;54,5;40,5;1,1;3,9;">>>>";1017;;;;"N/A_";;127;;;;;-143,57;0,017;0;125,6;715,8;-136,04;0,017;0;129,3;737,3;;;1,35;0,0;;;;N/A;
"M2H01K01";16/4/2020 08:43:58;53,7;39,6;1,5;5,2;">>>>";1025;;;;"N/A_";;16;;;;;-192,15;">>>>";0;;"N/A";-191,91;">>>>";0;;"N/A";;;1,36;0,0;;;;N/A;
"M2H02K01";16/4/2020 08:47:44;53,2;39,2;1,6;6;">>>>";1024;;;;"N/A_";;51;;;;;-184,65;">>>>";0;;"N/A";-184,58;">>>>";0;;"N/A";;;1,36;0,0;;;;N/A;
"M2H03K01";16/4/2020 08:51:10;53,6;38,6;1,8;6;">>>>";1024;;;;"N/A_";;56;;;;;-186,62;">>>>";0;;"N/A";-186,39;">>>>";0;;"N/A";;;1,39;0,0;;;;N/A;
